feature_id,Aboriginal English,Acrolectal Fiji English,Appalachian English,Australian English,Australian Vernacular English,Bahamian English,Black South African English,Cameroon English,Cape Flats English,Channel Islands English,Chicano English,Colloquial American English,Colloquial Singapore English (Singlish),Earlier African American Vernacular English,East Anglian English,English dialects in the North of England,English dialects in the Southeast of England,English dialects in the Southwest of England,Falkland Islands English,Ghanaian English,Hong Kong English,Indian English,Indian South African English,Irish English,Jamaican English,Kenyan English,Liberian Settler English,Malaysian English,Maltese English,Manx English,New Zealand English,Newfoundland English,Nigerian English,Orkney and Shetland English,Ozark English,Pakistani English,Philippine English,Pure Fiji English (basilectal FijiE),Rural African American Vernacular English,Scottish English,Southeast American enclave dialects,Sri Lankan English,St. Helena English,Tanzanian English,Tristan da Cunha English,Ugandan English,Urban African American Vernacular English,Welsh English,White South African English,White Zimbabwean English
64,0.005,0.1,0.0,0.0,0.0,0.1,0.005,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.1,0.5,0.5,0.0,0.5,0.1,0.005,0.0,0.1,0.1,0.5,0.0,0.005,0.0,0.1,0.0,0.1,0.1,0.5,0.0,0.0,0.005,0.0,0.0,0.005,0.005,0.1,0.0,0.0,0.0,0.0
65,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.1,0.1,0.0,0.0,0.0,0.0,0.005,0.1,0.0,0.0,0.0,0.1,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.1,0.1,0.5,0.005,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.5,0.005,0.0,0.005,0.0,0.1,0.005,0.1,0.0,0.005,0.0,0.0,0.005
67,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.005,0.0,0.005,0.0,0.5,0.0,0.005,0.0,0.1,0.0,0.0,0.005
68,0.5,0.0,0.1,0.1,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.5,0.5,0.5,0.5,0.1,0.005,0.0,0.0,0.0,0.1,0.5,0.005,0.0,0.1,0.0,0.0,0.5,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.1,0.5,0.0,0.5,0.0,0.1,0.0,0.5,0.5,0.0,0.1
69,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.005,0.1,0.1,0.0,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.0
70,0.5,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.0,0.5,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.005,0.005,0.005,0.0,0.1,0.1,0.0,0.0
71,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.005,0.5,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.5,0.0,0.0,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.1,0.005,0.005,0.1,0.0,0.0,0.005,0.0,0.005,0.005,0.0,0.0,0.1,0.0
72,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0.0,0.005,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.005,0.1,0.005,0.0,0.0,0.1,0.0,0.0,0.0,0.005,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.1,0.1,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
